No.,Ticker,②自己資本比率,⑤業界/セクター,⑧当期売上高,成長率(最新),成長率(1期前),成長率(2期前),⑨当期純利益,利益率,配当率,⑬フェアバリュー,⑭判定,⑮自作シグナル,⑯保有,更新日時
201,BABA,N/A,Consumer Cyclical / Internet Retail,1023670026240,2.74%,5.86%,8.34%,103592000000.0,10.12%,0.91%,118.28,割安,-,-,2026-06-12 02:49:36
202,JD,N/A,Consumer Cyclical / Internet Retail,1323697045504,12.97%,6.84%,3.67%,19631000000.0,1.48%,3.51%,47.77,超割安,-,-,2026-06-12 02:49:36
203,AMZN,N/A,Consumer Cyclical / Internet Retail,742775980032,12.38%,10.99%,11.83%,77670000000.0,10.46%,0.00%,95.48,割高,-,-,2026-06-12 02:49:36
204,TSLA,N/A,Consumer Cyclical / Auto Manufacturers,97878999040,-2.93%,0.95%,18.80%,3794000000.0,3.88%,0.00%,35.11,割高,-,-,2026-06-12 02:49:36
205,HD,N/A,Consumer Cyclical / Home Improvement Retail,166592004096,3.24%,4.48%,-3.01%,14156000000.0,8.50%,2.92%,71.02,割高,-,-,2026-06-12 02:49:36
206,MCD,N/A,Consumer Cyclical / Restaurants,27445999616,3.72%,1.67%,9.98%,8563000000.0,31.20%,2.63%,-,-,-,-,2026-06-12 02:49:36
207,NKE,N/A,Consumer Cyclical / Footwear & Accessories,46522998784,-9.84%,0.28%,9.65%,3219000000.0,6.92%,3.73%,19.72,割高,-,-,2026-06-12 02:49:36
208,LOW,N/A,Consumer Cyclical / Home Improvement Retail,88433999872,3.12%,-3.13%,-11.01%,6654000000.0,7.52%,2.31%,-,-,-,-,2026-06-12 02:49:36
209,SBUX,N/A,Consumer Cyclical / Restaurants,38471598080,2.79%,0.56%,11.55%,1856400000.0,4.83%,2.51%,-,-,-,-,2026-06-12 02:49:36
210,TJX,N/A,Consumer Cyclical / Apparel Retail,61583998976,7.12%,3.95%,8.57%,5494000000.0,8.92%,1.15%,34.54,割高,-,-,2026-06-12 02:49:36
211,BKNG,N/A,Consumer Cyclical / Travel Services,27687000064,13.39%,11.11%,25.01%,5404000000.0,19.52%,1.00%,-,-,-,-,2026-06-12 02:49:36
212,FDX,N/A,Industrials / Integrated Freight & Logistics,91932999680,0.27%,-2.73%,-3.59%,4092000000.0,4.45%,1.53%,230.47,割高,-,-,2026-06-12 02:49:36
213,MAR,N/A,Consumer Cyclical / Lodging,7184000000,4.33%,5.85%,14.15%,2601000000.0,36.21%,0.76%,-,-,-,-,2026-06-12 02:49:36
214,KDP,N/A,Consumer Defensive / Beverages - Non-Alcoholic,16944000000,8.16%,3.62%,5.39%,2079000000.0,12.27%,2.90%,32.48,割安,-,-,2026-06-12 02:49:36
215,F,N/A,Consumer Cyclical / Auto Manufacturers,189861003264,1.23%,5.00%,11.47%,-8182000000.0,-4.31%,4.20%,19.73,割安,-,-,2026-06-12 02:49:36
216,GM,N/A,Consumer Cyclical / Auto Manufacturers,184623005696,-1.29%,9.08%,9.64%,2697000000.0,1.46%,0.91%,148.33,超割安,-,-,2026-06-12 02:49:36
217,EBAY,N/A,Consumer Cyclical / Internet Retail,11603999744,7.95%,1.69%,3.24%,2031000000.0,17.50%,1.17%,38.8,割高,-,-,2026-06-12 02:49:36
218,AZO,N/A,Consumer Cyclical / Auto Parts,19986403328,2.43%,5.92%,7.41%,2498247000.0,12.50%,0.00%,-,-,-,-,2026-06-12 02:49:36
219,ORLY,N/A,Consumer Cyclical / Auto Parts,18205607936,6.42%,5.67%,9.73%,2538209000.0,13.94%,0.00%,-,-,-,-,2026-06-12 02:49:36
220,LVS,N/A,Consumer Cyclical / Resorts & Casinos,13740000256,15.22%,8.93%,152.36%,1627000000.0,11.84%,2.16%,12.22,割高,-,-,2026-06-12 02:49:36
221,YUM,N/A,Consumer Cyclical / Restaurants,8486000128,8.81%,6.68%,3.42%,1559000000.0,18.37%,1.99%,-,-,-,-,2026-06-12 02:49:36
222,ABNB,N/A,Consumer Cyclical / Travel Services,12647000064,10.26%,11.95%,18.07%,2511000000.0,19.85%,0.00%,41.75,割高,-,-,2026-06-12 02:49:36
223,LYFT,N/A,Technology / Software - Application,6516577792,9.16%,31.39%,7.53%,2844008000.0,43.64%,0.00%,19.3,割安,-,-,2026-06-12 02:49:36
224,RCL,N/A,Consumer Cyclical / Travel Services,18388000768,8.79%,18.60%,57.24%,4268000000.0,23.21%,1.86%,128.32,割高,-,-,2026-06-12 02:49:36
225,CCL,N/A,Consumer Cyclical / Travel Services,26976999424,6.39%,15.88%,77.44%,2760000000.0,10.23%,1.15%,23.46,適正,-,-,2026-06-12 02:49:36
226,NCLH,N/A,Consumer Cyclical / Travel Services,10031259648,3.67%,10.87%,76.51%,423246000.0,4.22%,0.00%,15.51,適正,-,-,2026-06-12 02:49:36
227,CMG,N/A,Consumer Cyclical / Restaurants,12138590208,5.41%,14.61%,14.33%,1535761000.0,12.65%,0.00%,7.56,割高,-,-,2026-06-12 02:49:36
228,DRI,N/A,Consumer Cyclical / Restaurants,12763799552,6.03%,8.60%,8.91%,1049600000.0,8.22%,2.95%,68.52,割高,-,-,2026-06-12 02:49:36
229,HLT,N/A,Consumer Cyclical / Lodging,5071000064,7.74%,9.17%,16.66%,1457000000.0,28.73%,0.18%,-,-,-,-,2026-06-12 02:49:36
230,MGM,N/A,Consumer Cyclical / Resorts & Casinos,17715318784,1.72%,6.66%,23.13%,205862000.0,1.16%,0.00%,22.2,割高,-,-,2026-06-12 02:49:36
231,WYNN,N/A,Consumer Cyclical / Resorts & Casinos,7294288896,0.14%,9.13%,73.87%,327334000.0,4.49%,0.95%,-,-,-,-,2026-06-12 02:49:36
232,LULU,N/A,Consumer Cyclical / Apparel Retail,11203543040,4.86%,10.07%,18.60%,1579183000.0,14.10%,0.00%,105.61,適正,-,-,2026-06-12 02:49:36
233,NVR,N/A,Consumer Cyclical / Residential Construction,9917295616,-1.91%,10.58%,-9.52%,1339816000.0,13.51%,0.00%,3478.64,割高,-,-,2026-06-12 02:49:36
234,PHM,N/A,Consumer Cyclical / Residential Construction,16827875328,-3.54%,11.74%,0.37%,2218730000.0,13.18%,0.88%,130.66,割安,-,-,2026-06-12 02:49:36
235,DHI,N/A,Consumer Cyclical / Residential Construction,33348399104,-6.93%,3.78%,5.92%,3585200000.0,10.75%,1.23%,149.85,適正,-,-,2026-06-12 02:49:36
236,LEN,N/A,Consumer Cyclical / Residential Construction,33174865920,-3.54%,3.53%,1.67%,2078179000.0,6.26%,2.23%,121.58,割安,-,-,2026-06-12 02:49:36
237,TSCO,N/A,Consumer Cyclical / Specialty Retail,15649139712,4.31%,2.25%,2.47%,1096087000.0,7.00%,3.12%,15.97,割高,-,-,2026-06-12 02:49:36
238,ROST,N/A,Consumer Cyclical / Apparel Retail,23776063488,7.67%,3.69%,8.99%,2145044000.0,9.02%,0.77%,61.52,割高,-,-,2026-06-12 02:49:36
239,BBY,N/A,Consumer Cyclical / Specialty Retail,41860001792,0.39%,-4.43%,-6.15%,1069000000.0,2.55%,5.08%,48.25,割高,-,-,2026-06-12 02:49:36
240,ULTA,N/A,Consumer Cyclical / Specialty Retail,12708310016,9.71%,0.79%,9.78%,1153479000.0,9.08%,0.00%,213.18,割高,-,-,2026-06-12 02:49:36
241,GPC,N/A,Consumer Cyclical / Auto Parts,24699011072,3.46%,1.71%,4.50%,65945000.0,0.27%,4.32%,78.27,適正,-,-,2026-06-12 02:49:36
242,POOL,N/A,Industrials / Industrial Distribution,5355884032,-0.41%,-4.16%,-10.33%,406404000.0,7.59%,2.74%,91.77,割高,-,-,2026-06-12 02:49:36
243,HAS,N/A,Consumer Cyclical / Leisure,4814400000,13.68%,-17.34%,-14.57%,-322400000.0,-6.70%,3.40%,25.71,割高,-,-,2026-06-12 02:49:36
244,MAT,N/A,Consumer Cyclical / Leisure,5383164928,-0.59%,-1.13%,0.12%,397584000.0,7.39%,0.00%,16.09,割安,-,-,2026-06-12 02:49:36
245,W,N/A,Consumer Cyclical / Internet Retail,12657999872,5.11%,-1.27%,-1.76%,-313000000.0,-2.47%,0.00%,-,-,-,-,2026-06-12 02:49:36
246,ETY,N/A,Financial Services / Asset Management,18555544,-55.12%,240.77%,-,305523017.0,1646.53%,8.32%,-,-,-,-,2026-06-12 02:49:36
247,WSM,N/A,Consumer Cyclical / Specialty Retail,7882159104,1.24%,-0.50%,-10.65%,1088437000.0,13.81%,1.47%,63.55,割高,-,-,2026-06-12 02:49:36
248,RVLV,N/A,Consumer Cyclical / Internet Retail,1271853056,8.48%,5.73%,-2.97%,61709000.0,4.85%,0.00%,13.33,割高,-,-,2026-06-12 02:49:36
249,KMX,N/A,Consumer Cyclical / Auto & Truck Dealerships,27755030528,-1.79%,-0.69%,-10.61%,247290000.0,0.89%,0.00%,51.02,割安,-,-,2026-06-12 02:49:36
250,WMT,N/A,Consumer Defensive / Discount Stores,725304999936,4.73%,5.07%,6.03%,21893000000.0,3.02%,0.82%,30.41,割高,-,-,2026-06-12 02:49:36
251,PG,N/A,Consumer Defensive / Household & Personal Products,86716997632,0.29%,2.48%,2.27%,15974000000.0,18.42%,2.86%,60.66,割高,-,-,2026-06-12 02:49:36
252,KO,N/A,Consumer Defensive / Beverages - Non-Alcoholic,49284001792,1.87%,2.86%,6.39%,13107000000.0,26.59%,2.54%,24.75,割高,-,-,2026-06-12 02:49:36
253,PEP,N/A,Consumer Defensive / Beverages - Non-Alcoholic,95448997888,2.25%,0.42%,5.88%,8240000000.0,8.63%,4.10%,56.69,割高,-,-,2026-06-12 02:49:36
254,COST,N/A,Consumer Defensive / Discount Stores,293586993152,8.17%,5.02%,6.76%,8099000000.0,2.76%,0.60%,137.76,割高,-,-,2026-06-12 02:49:36
255,PM,N/A,Consumer Defensive / Tobacco,41493000192,7.31%,7.69%,10.74%,11348000000.0,27.35%,3.21%,-,-,-,-,2026-06-12 02:49:36
256,MO,N/A,Consumer Defensive / Tobacco,20377999360,-1.49%,-0.28%,-0.90%,6947000000.0,34.09%,5.80%,-,-,-,-,2026-06-12 02:49:36
257,MDLZ,N/A,Consumer Defensive / Confectioners,39303999488,5.75%,1.18%,14.35%,2451000000.0,6.24%,3.12%,39.09,割高,-,-,2026-06-12 02:49:36
258,CL,N/A,Consumer Defensive / Household & Personal Products,20795000832,1.40%,3.31%,8.29%,2132000000.0,10.25%,2.36%,4.06,割高,-,-,2026-06-12 02:49:36
259,KMB,N/A,Consumer Defensive / Household & Personal Products,16556000256,-2.13%,-1.99%,-15.01%,2021000000.0,12.21%,5.04%,30.37,割高,-,-,2026-06-12 02:49:36
260,STZ,N/A,Consumer Defensive / Beverages - Brewers,9139000320,-10.48%,2.48%,5.39%,1686700000.0,18.46%,2.90%,114.46,適正,-,-,2026-06-12 02:49:36
261,TGT,N/A,Consumer Defensive / Discount Stores,106377003008,-1.68%,-0.79%,-1.57%,3705000000.0,3.48%,3.56%,85.02,割高,-,-,2026-06-12 02:49:36
262,DG,N/A,Consumer Defensive / Discount Stores,43075354624,5.20%,4.96%,2.24%,1512311000.0,3.51%,2.15%,84.96,割高,-,-,2026-06-12 02:49:36
263,GIS,N/A,Consumer Defensive / Packaged Foods,18371198976,-1.87%,-1.18%,5.80%,2295200000.0,12.49%,7.21%,27.14,適正,-,-,2026-06-12 02:49:36
264,SYY,N/A,Consumer Defensive / Food Distribution,83567001600,3.20%,3.30%,11.20%,1828000000.0,2.19%,2.80%,23.05,割高,-,-,2026-06-12 02:49:36
265,ADM,N/A,Consumer Defensive / Farm Products,80583999488,-6.15%,-8.95%,-7.50%,1078000000.0,1.34%,2.56%,74.34,適正,-,-,2026-06-12 02:49:36
266,KR,N/A,Consumer Defensive / Grocery Stores,147642007552,0.35%,-1.94%,1.20%,1016000000.0,0.69%,2.17%,34.18,割高,-,-,2026-06-12 02:49:36
267,HSY,N/A,Consumer Defensive / Confectioners,11991323648,4.38%,0.33%,7.16%,883259000.0,7.37%,3.29%,72.24,割高,-,-,2026-06-12 02:49:36
268,CHD,N/A,Consumer Defensive / Household & Personal Products,6205400064,1.57%,4.08%,9.16%,736800000.0,11.87%,1.25%,40.39,割高,-,-,2026-06-12 02:49:36
269,MKC,N/A,Consumer Defensive / Packaged Foods,7108700160,1.73%,0.92%,4.91%,789400000.0,11.10%,3.86%,44.17,適正,-,-,2026-06-12 02:49:36
270,TSN,N/A,Consumer Defensive / Farm Products,55709999104,2.12%,0.81%,-0.75%,474000000.0,0.85%,3.63%,72.44,割安,-,-,2026-06-12 02:49:36
271,PYPL,N/A,Financial Services / Credit Services,33734000640,4.32%,6.81%,8.19%,5233000000.0,15.51%,1.38%,53.93,割安,-,-,2026-06-12 02:49:36
272,SOFI,N/A,Financial Services / Credit Services,3908427008,38.32%,23.91%,33.98%,481320000.0,12.31%,0.00%,12.17,割高,-,-,2026-06-12 02:49:36
273,COIN,N/A,Financial Services / Financial Data & Stock Exchanges,6285964800,9.40%,111.17%,-2.69%,1260327000.0,20.05%,0.00%,75.65,割高,-,-,2026-06-12 02:49:36
274,NU,N/A,Financial Services / Banks - Regional,7594012160,28.50%,46.83%,89.56%,2868892000.0,37.78%,0.00%,8.17,割高,-,-,2026-06-12 02:49:36
275,HOOD,N/A,Financial Services / Capital Markets,4613000192,51.58%,58.23%,37.33%,1883000000.0,40.82%,0.00%,25.54,割高,-,-,2026-06-12 02:49:36
276,ICE,N/A,Financial Services / Financial Data & Stock Exchanges,10435000320,7.47%,18.76%,2.77%,3315000000.0,31.77%,1.48%,101.65,割高,-,-,2026-06-12 02:49:36
277,CME,N/A,Financial Services / Financial Data & Stock Exchanges,6743600128,6.37%,9.88%,11.15%,4072200000.0,60.39%,1.97%,146.18,割高,-,-,2026-06-12 02:49:36
278,MSCI,N/A,Financial Services / Financial Data & Stock Exchanges,3239459072,9.75%,12.94%,12.47%,1202305000.0,37.11%,1.35%,-,-,-,-,2026-06-12 02:49:36
279,AON,N/A,Financial Services / Insurance Brokers,17486000128,9.45%,17.36%,7.19%,3695000000.0,21.13%,0.98%,148.97,割高,-,-,2026-06-12 02:49:36
280,BRO,N/A,Financial Services / Insurance Brokers,6257999872,22.49%,12.05%,17.85%,1054000000.0,16.84%,1.07%,64.16,割安,-,-,2026-06-12 02:49:36
281,WFC,N/A,Financial Services / Banks - Diversified,81135001600,1.70%,-0.36%,11.07%,21338000000.0,26.30%,2.20%,97.23,割安,-,-,2026-06-12 02:49:36
282,BK,N/A,Financial Services / Banks - Diversified,20753999872,8.22%,5.27%,7.15%,5549000000.0,26.74%,0.02%,111.67,適正,-,-,2026-06-12 02:49:36
283,STT,N/A,Financial Services / Asset Management,14392999936,8.10%,8.15%,-1.48%,2945000000.0,20.46%,2.08%,164.45,割安,-,-,2026-06-12 02:49:36
284,NTRS,N/A,Financial Services / Asset Management,8363500032,-2.46%,22.39%,0.18%,1736900000.0,20.77%,1.93%,132.17,適正,-,-,2026-06-12 02:49:36
285,FITB,N/A,Financial Services / Banks - Regional,8999999488,6.61%,-1.84%,4.04%,2522000000.0,28.02%,3.04%,62.48,割安,-,-,2026-06-12 02:49:36
286,KEY,N/A,Financial Services / Banks - Regional,7200999936,65.72%,-29.27%,-11.54%,1829000000.0,25.40%,3.73%,27.88,割安,-,-,2026-06-12 02:49:36
287,RF,N/A,Financial Services / Banks - Regional,7177999872,6.25%,-6.51%,5.74%,2156000000.0,30.04%,3.71%,36.21,割安,-,-,2026-06-12 02:49:36
288,HBAN,N/A,Financial Services / Banks - Regional,8297999872,10.10%,0.34%,1.46%,2211000000.0,26.64%,3.68%,25.04,超割安,-,-,2026-06-12 02:49:36
289,CFG,N/A,Financial Services / Banks - Regional,7885000192,5.61%,-5.05%,2.53%,1831000000.0,23.22%,2.83%,90.27,割安,-,-,2026-06-12 02:49:36
290,MTB,N/A,Financial Services / Banks - Regional,9310000128,4.34%,-1.78%,17.28%,2851000000.0,30.62%,2.68%,285.63,割安,-,-,2026-06-12 02:49:36
291,COF,N/A,Financial Services / Credit Services,36310999040,36.62%,6.32%,7.41%,2453000000.0,6.76%,1.80%,307.93,超割安,-,-,2026-06-12 02:49:36
292,SYF,N/A,Financial Services / Credit Services,9891999744,-0.50%,10.49%,16.73%,3552000000.0,35.91%,1.73%,103.36,超割安,-,-,2026-06-12 02:49:36
293,ALL,N/A,Financial Services / Insurance - Property & Casualty,68174000128,5.60%,12.24%,11.80%,10282000000.0,15.08%,1.93%,260.5,割安,-,-,2026-06-12 02:49:36
294,PGR,N/A,Financial Services / Insurance - Property & Casualty,89415000064,16.32%,21.36%,25.20%,11308000000.0,12.65%,6.81%,141.42,割高,-,-,2026-06-12 02:49:36
295,AFL,N/A,Financial Services / Insurance - Life,18112000000,-9.27%,1.52%,-1.62%,3646000000.0,20.13%,2.08%,100.2,適正,-,-,2026-06-12 02:49:36
296,PRU,N/A,Financial Services / Insurance - Life,63288999936,-13.74%,30.24%,-4.77%,3576000000.0,5.65%,5.32%,173.65,超割安,-,-,2026-06-12 02:49:36
297,L,N/A,Financial Services / Insurance - Property & Casualty,18514999296,5.44%,9.96%,11.59%,1667000000.0,9.00%,0.23%,77.01,割高,-,-,2026-06-12 02:49:36
298,IVZ,N/A,Financial Services / Asset Management,6592399872,5.11%,6.13%,-5.50%,-281700000.0,-4.27%,3.13%,38.43,割安,-,-,2026-06-12 02:49:36
299,UNH,N/A,Healthcare / Healthcare Plans,449713012736,11.81%,7.71%,14.64%,12056000000.0,2.68%,2.28%,225.16,割高,-,-,2026-06-12 02:49:36
300,JNJ,N/A,Healthcare / Drug Manufacturers - General,96361996288,6.05%,4.30%,6.46%,26804000000.0,27.82%,2.25%,98.25,割高,-,-,2026-06-12 02:49:36
301,LLY,N/A,Healthcare / Drug Manufacturers - General,72248999936,44.70%,32.00%,19.56%,20640000000.0,28.57%,0.61%,186.96,割高,-,-,2026-06-12 02:49:36
302,ABBV,N/A,Healthcare / Drug Manufacturers - General,62819000320,8.57%,3.71%,-6.44%,4226000000.0,6.73%,3.08%,-,-,-,-,2026-06-12 02:49:36
303,PFE,N/A,Healthcare / Drug Manufacturers - General,63315001344,-1.65%,6.84%,-41.14%,7771000000.0,12.27%,6.72%,31.77,割安,-,-,2026-06-12 02:49:36
304,TMO,N/A,Healthcare / Diagnostics & Research,45197000704,3.91%,0.05%,-4.58%,6704000000.0,14.83%,0.39%,295.09,割高,-,-,2026-06-12 02:49:36
305,ABT,N/A,Healthcare / Medical Devices,45134000128,5.67%,4.59%,-8.12%,6524000000.0,14.45%,2.83%,63.85,割高,-,-,2026-06-12 02:49:36
306,DHR,N/A,Healthcare / Diagnostics & Research,24778000384,2.90%,-0.06%,-10.33%,3614000000.0,14.59%,0.87%,123.97,割高,-,-,2026-06-12 02:49:36
307,AMGN,N/A,Healthcare / Drug Manufacturers - General,37219999744,9.95%,18.57%,7.09%,7711000000.0,20.72%,2.98%,94.84,割高,-,-,2026-06-12 02:49:36
308,MDT,N/A,Healthcare / Medical Devices,36364001280,3.62%,3.64%,-1.45%,4662000000.0,12.82%,3.59%,74.2,適正,-,-,2026-06-12 02:49:36
309,GILD,N/A,Healthcare / Drug Manufacturers - General,29735999488,2.39%,6.04%,-0.60%,8510000000.0,28.62%,2.70%,63.92,割高,-,-,2026-06-12 02:49:36
310,ELV,N/A,Healthcare / Healthcare Plans,200416002048,12.62%,3.19%,9.42%,5662000000.0,2.83%,1.70%,364.57,適正,-,-,2026-06-12 02:49:36
311,SYK,N/A,Healthcare / Medical Devices,25269999616,11.16%,10.23%,11.11%,3246000000.0,12.85%,1.14%,148.53,割高,-,-,2026-06-12 02:49:36
312,REGN,N/A,Healthcare / Biotechnology,14919600128,0.99%,8.27%,7.76%,4504900000.0,30.19%,0.62%,610.75,適正,-,-,2026-06-12 02:49:36
313,VRTX,N/A,Healthcare / Biotechnology,12218000384,8.90%,11.66%,10.51%,3953200000.0,32.36%,0.00%,191.84,割高,-,-,2026-06-12 02:49:36
314,CI,N/A,Healthcare / Healthcare Plans,277892005888,11.67%,-94.93%,2605.39%,5957000000.0,2.14%,2.11%,346.59,割安,-,-,2026-06-12 02:49:36
315,BSX,N/A,Healthcare / Medical Devices,20614000640,19.87%,17.61%,12.29%,2898000000.0,14.06%,0.00%,38.2,適正,-,-,2026-06-12 02:49:36
316,BDX,N/A,Healthcare / Medical Instruments & Supplies,22226999296,8.24%,4.16%,2.66%,1678000000.0,7.55%,2.84%,162.49,割安,-,-,2026-06-12 02:49:36
317,HCA,N/A,Healthcare / Medical Care Facilities,76387999744,7.08%,8.67%,7.86%,6784000000.0,8.88%,0.84%,-,-,-,-,2026-06-12 02:49:36
318,ISRG,N/A,Healthcare / Medical Instruments & Supplies,10582099968,20.51%,17.24%,14.49%,2856000000.0,26.99%,0.00%,114.37,割高,-,-,2026-06-12 02:49:36
319,MRNA,N/A,Healthcare / Biotechnology,2224999936,-39.92%,-52.64%,-64.22%,-2822000000.0,-126.83%,0.00%,-,-,-,-,2026-06-12 02:49:36
320,BIIB,N/A,Healthcare / Drug Manufacturers - General,9937399808,2.22%,-1.62%,-3.32%,1292900000.0,13.01%,0.00%,217.58,割安,-,-,2026-06-12 02:49:36
321,BMY,N/A,Healthcare / Drug Manufacturers - General,48482000896,-0.22%,7.32%,-2.50%,7054000000.0,14.55%,4.53%,36.93,割高,-,-,2026-06-12 02:49:36
322,CVS,N/A,Healthcare / Healthcare Plans,405617999872,7.85%,4.20%,10.95%,1768000000.0,0.44%,2.71%,107.07,割安,-,-,2026-06-12 02:49:36
323,HUM,N/A,Healthcare / Healthcare Plans,137200001024,10.11%,10.70%,14.54%,1188000000.0,0.87%,0.97%,234.06,割高,-,-,2026-06-12 02:49:36
324,MCK,N/A,Healthcare / Medical Distribution,403430014976,12.36%,16.22%,11.65%,4762000000.0,1.18%,0.41%,-,-,-,-,2026-06-12 02:49:36
325,CAH,N/A,Healthcare / Medical Distribution,250735001600,-1.87%,10.66%,13.04%,1561000000.0,0.62%,0.95%,-,-,-,-,2026-06-12 02:49:36
326,EW,N/A,Healthcare / Medical Devices,6303499776,11.55%,8.57%,12.23%,1073500000.0,17.03%,0.00%,36.83,割高,-,-,2026-06-12 02:49:36
327,IDXX,N/A,Healthcare / Diagnostics & Research,4446094848,10.42%,6.46%,8.72%,1059464000.0,23.83%,0.00%,85.43,割高,-,-,2026-06-12 02:49:36
328,IQV,N/A,Healthcare / Diagnostics & Research,16632000512,5.87%,2.81%,3.98%,1360000000.0,8.18%,0.00%,109.12,割高,-,-,2026-06-12 02:49:36
329,CNC,N/A,Healthcare / Healthcare Plans,178331992064,19.44%,5.89%,6.54%,-6674000000.0,-3.74%,0.00%,65.95,割安,-,-,2026-06-12 02:49:36
330,ALGN,N/A,Healthcare / Medical Instruments & Supplies,4095789056,0.90%,3.54%,3.42%,410351000.0,10.02%,0.00%,127.0,割高,-,-,2026-06-12 02:49:36
331,ZTS,N/A,Healthcare / Drug Manufacturers - Specialty & Generic,9530999808,2.28%,8.33%,5.74%,2673000000.0,28.05%,2.61%,36.19,割高,-,-,2026-06-12 02:49:36
332,MTD,N/A,Healthcare / Diagnostics & Research,4089782016,3.98%,2.22%,-3.35%,869193000.0,21.25%,0.00%,-,-,-,-,2026-06-12 02:49:36
333,RMD,N/A,Healthcare / Medical Instruments & Supplies,5537788928,9.84%,10.95%,18.02%,1400723000.0,25.29%,1.24%,110.58,割高,-,-,2026-06-12 02:49:36
334,DXCM,N/A,Healthcare / Medical Devices,4817900032,15.60%,11.34%,24.49%,836300000.0,17.36%,0.00%,23.05,割高,-,-,2026-06-12 02:49:36
335,BAX,N/A,Healthcare / Medical Instruments & Supplies,11320000512,5.72%,2.66%,3.01%,-957000000.0,-8.45%,0.98%,23.04,割安,-,-,2026-06-12 02:49:36
336,ZBH,N/A,Healthcare / Medical Devices,8409099776,7.20%,3.85%,6.55%,705100000.0,8.38%,1.09%,115.23,割安,-,-,2026-06-12 02:49:36
337,VTRS,N/A,Healthcare / Drug Manufacturers - Specialty & Generic,14562599936,-2.98%,-4.46%,-5.14%,-3514900000.0,-24.14%,3.04%,27.73,超割安,-,-,2026-06-12 02:49:36
338,GEHC,N/A,Healthcare / Medical Devices,20978999296,4.84%,0.61%,6.60%,2084000000.0,9.93%,0.22%,53.23,適正,-,-,2026-06-12 02:49:36
339,ILMN,N/A,Healthcare / Diagnostics & Research,4392999936,-0.66%,-2.93%,-1.75%,850000000.0,19.35%,0.00%,48.44,割高,-,-,2026-06-12 02:49:36
340,WAT,N/A,Healthcare / Diagnostics & Research,3770286080,6.99%,0.07%,-0.52%,642629000.0,17.04%,0.00%,126.2,割高,-,-,2026-06-12 02:49:36
341,STE,N/A,Healthcare / Medical Devices,5935900160,8.73%,6.24%,13.28%,782300000.0,13.18%,1.21%,141.45,割高,-,-,2026-06-12 02:49:36
342,CVX,N/A,Energy / Oil & Gas Integrated,185740001280,-4.64%,-1.78%,-16.46%,12299000000.0,6.62%,3.75%,162.08,適正,-,-,2026-06-12 02:49:36
343,XOM,N/A,Energy / Oil & Gas Integrated,326008012800,-4.52%,1.36%,-16.05%,28844000000.0,8.85%,2.74%,121.89,適正,-,-,2026-06-12 02:49:36
344,SLB,N/A,Energy / Oil & Gas Equipment & Services,35939000320,-1.60%,9.52%,17.96%,3374000000.0,9.39%,2.13%,36.3,割高,-,-,2026-06-12 02:49:36
345,COP,N/A,Energy / Oil & Gas E&P,59377999872,7.67%,-2.49%,-28.48%,7988000000.0,13.45%,2.80%,104.7,適正,-,-,2026-06-12 02:49:36
346,EOG,N/A,Energy / Oil & Gas E&P,23569999872,-3.40%,0.85%,-21.40%,4980000000.0,21.13%,2.91%,138.8,割安,-,-,2026-06-12 02:49:36
347,MPC,N/A,Energy / Oil & Gas Refining & Marketing,135946002432,-4.44%,-6.41%,-16.38%,4047000000.0,2.98%,1.49%,175.14,割高,-,-,2026-06-12 02:49:36
348,PSX,N/A,Energy / Oil & Gas Refining & Marketing,134485999616,-7.53%,-2.88%,-13.29%,4403000000.0,3.27%,2.80%,165.19,適正,-,-,2026-06-12 02:49:36
349,VLO,N/A,Energy / Oil & Gas Refining & Marketing,117841002496,-5.54%,-10.28%,-17.93%,2348000000.0,1.99%,1.86%,194.44,割高,-,-,2026-06-12 02:49:36
350,LIN,N/A,Basic Materials / Specialty Chemicals,34654998528,2.97%,0.46%,-1.53%,6898000000.0,19.90%,1.26%,192.28,割高,-,-,2026-06-12 02:49:36
351,APD,N/A,Basic Materials / Specialty Chemicals,12463899648,-0.52%,-3.96%,-0.78%,-394500000.0,-3.17%,2.62%,150.03,割高,-,-,2026-06-12 02:49:36
352,SHW,N/A,Basic Materials / Specialty Chemicals,23935500288,2.06%,0.20%,4.08%,2568500000.0,10.73%,1.05%,73.38,割高,-,-,2026-06-12 02:49:36
353,FCX,N/A,Basic Materials / Copper,26421000192,1.81%,11.38%,0.33%,2204000000.0,8.34%,0.97%,34.25,割高,-,-,2026-06-12 02:49:36
354,NEM,N/A,Basic Materials / Gold,24966000640,21.34%,58.16%,-0.86%,7085000000.0,28.38%,1.12%,91.35,適正,-,-,2026-06-12 02:49:36
355,CTVA,N/A,Basic Materials / Agricultural Inputs,17888999424,2.92%,-1.85%,-1.31%,1094000000.0,6.12%,0.97%,57.94,適正,-,-,2026-06-12 02:49:36
356,DD,N/A,Basic Materials / Specialty Chemicals,6918000128,1.93%,1.59%,-49.19%,-779000000.0,-11.26%,1.78%,44.92,適正,-,-,2026-06-12 02:49:36
357,ECL,N/A,Basic Materials / Specialty Chemicals,16452299776,2.16%,2.75%,7.98%,2075600000.0,12.62%,1.14%,87.67,割高,-,-,2026-06-12 02:49:36
358,UNP,N/A,Industrials / Railroads,24700000256,1.07%,0.54%,-3.04%,7138000000.0,28.90%,2.07%,100.42,割高,-,-,2026-06-12 02:49:36
